User;nRatings;LearningMethod;lambda;nfeatures;fold;Linear AccuracyError;Linear MAE;Linear RMSE;Linear Spearman;Gaussian AccuracyError;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial AccuracyError;Polynomial MAE;Polynomial RMSE;Polynomial Spearman;;;;;;
http://soa4all,isoco,net/luf/users/movies536;28;SOFTMARGIN_BATCH;1;4789;6;1;2,15E+09;2,15E+09;-3,46E+18;1;2,15E+09;2,15E+09;-3,46E+18;1;2,15E+09;2,15E+09;-3,46E+18;;;;;;
http://soa4all,isoco,net/luf/users/movies536;28;SOFTMARGIN_BATCH;1;4789;7;1;2,15E+09;2,15E+09;-3,46E+18;1;2,15E+09;2,15E+09;-3,46E+18;1;2,15E+09;2,15E+09;-3,46E+18;;;;;;
http://soa4all,isoco,net/luf/users/movies536;28;SOFTMARGIN_BATCH;1;4789;8;1;2,15E+09;2,15E+09;-9,22E+18;1;2,15E+09;2,15E+09;-9,22E+18;1;2,15E+09;2,15E+09;-9,22E+18;;;;;;
http://soa4all,isoco,net/luf/users/movies536;28;SOFTMARGIN_BATCH;1;4789;9;1;2,15E+09;2,15E+09;-9,22E+18;1;2,15E+09;2,15E+09;-9,22E+18;1;2,15E+09;2,15E+09;-9,22E+18;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;0;0,833333333;1,166666667;1,354006401;0,685714286;0,666666667;1;1,290994449;0,714285714;0,833333333;1,166666667;1,354006401;0,685714286;1,43;1,687756431;1,536666667;1,74012266;1,29;1,587758663
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;1;0,5;0,833333333;1,224744871;0,742857143;0,5;0,833333333;1,224744871;0,742857143;0,5;0,833333333;1,224744871;0,742857143;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;2;1;2;2,081665999;0,257142857;1;1,833333333;1,870828693;0,4;1;2;2,081665999;0,257142857;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;3;0,833333333;1,5;1,957890021;0,342857143;1;1,5;1,683250823;0,514285714;0,833333333;1,5;1,957890021;0,342857143;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;4;1;2;2,097617696;-0,1;1;2;2,097617696;-0,1;1;1,6;1,788854382;0,2;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;5;1;2;2,19089023;-0,2;1;2;2,19089023;-0,2;1;1,8;1,949358869;0,05;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;6;0,8;1,4;1,732050808;0,25;1;1,4;1,61245155;0,35;0,6;1;1,483239697;0,45;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;7;0,6;0,6;0,774596669;0,85;0,4;0,4;0,632455532;0,9;0,4;0,4;0,632455532;0,9;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;8;0,8;1,4;1,732050808;0,25;0,8;1,4;1,732050808;0,25;0,6;1,2;1,673320053;0,3;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SIMPLE_ONLINE;1;4789;9;0,8;1,4;1,732050808;0,25;1;3;3,065941943;-1,35;0,8;1,4;1,732050808;0,25;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;0;1;2;2,160246899;0,2;0,833333333;1,5;1,683250823;0,514285714;1;2;2,160246899;0,2;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;1;1;1,833333333;2,041241452;0,285714286;1;1,666666667;1,825741858;0,428571429;0,833333333;1,666666667;2;0,314285714;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;2;1;2,833333333;2,857738033;-0,4;0,833333333;1,5;1,683250823;0,514285714;1;2,833333333;2,857738033;-0,4;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;3;0,833333333;2;2,380476143;0,028571429;1;2,5;2,738612788;-0,285714286;0,833333333;2;2,380476143;0,028571429;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;4;0,8;2,6;2,93257566;-1,15;0,8;1,8;2,144761059;-0,15;0,8;2,6;2,93257566;-1,15;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;5;0,6;1,8;2,408318916;-0,45;1;1,8;1,949358869;0,05;0,6;1,8;2,408318916;-0,45;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;6;0,8;1,8;2,236067977;-0,25;0,6;1,4;2,049390153;-0,05;0,8;1,8;2,236067977;-0,25;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;7;0,6;0,8;1,095445115;0,7;0,6;0,8;1,095445115;0,7;0,6;0,8;1,095445115;0,7;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;8;0,8;1,8;2,323790008;-0,35;0,6;1;1,483239697;0,45;0,6;1,4;2,049390153;-0,05;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;ONEVSALL_BATCH;1;4789;9;0,8;1,4;1,732050808;0,25;1;2,2;2,408318916;-0,45;0,6;1,2;1,673320053;0,3;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;0;1;2;2,160246899;0,2;1;2;2,160246899;0,2;1;2;2,160246899;0,2;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;1;1;1,833333333;2,041241452;0,285714286;1;1,833333333;2,041241452;0,285714286;0,833333333;1,666666667;2;0,314285714;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;2;1;2,166666667;2,34520788;0,057142857;1;2,833333333;2,857738033;-0,4;1;2,833333333;2,857738033;-0,4;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;3;0,666666667;1,5;2,041241452;0,285714286;0,666666667;1,833333333;2,34520788;0,057142857;0,666666667;1,5;2,041241452;0,285714286;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;4;1;3;3,193743885;-1,55;0,8;1,4;1,949358869;0,05;0,8;2,4;2,75680975;-0,9;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;5;1;3,6;3,633180425;-2,3;0,6;2,2;2,863564213;-1,05;0,8;2,4;2,898275349;-1,1;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;6;0,8;2;2,366431913;-0,4;1;2,6;2,720294102;-0,85;0,8;2;2,366431913;-0,4;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;7;1;2,6;2,792848009;-0,95;0,8;2;2,449489743;-0,5;0,8;2;2,449489743;-0,5;;;;;;
