utente;lambda;nfeatures;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;1.0;0;1.2128787878787877;1.221969696969697;1.446969696969697;1.503504766582942;1.4747046692651273;1.7751327563377344;0.8896853146853146;0.8933566433566433;0.8457342657342657
http://soa4all.isoco.net/luf/users/movies13;1.0;1;1.2128787878787877;1.221969696969697;1.446969696969697;1.503504766582942;1.4747046692651273;1.7751327563377344;0.8896853146853146;0.8933566433566433;0.8457342657342657
http://soa4all.isoco.net/luf/users/movies13;1.0;2;1.168939393939394;1.2227272727272729;1.390909090909091;1.4450447130296455;1.4952434640530186;1.699524887274816;0.8974825174825176;0.8884965034965034;0.8603846153846154
http://soa4all.isoco.net/luf/users/movies13;1.0;3;1.2303030303030302;1.3757575757575757;1.5204545454545457;1.536194287067591;1.6788305351144188;1.8596535289786549;0.884965034965035;0.8599300699300698;0.835979020979021
http://soa4all.isoco.net/luf/users/movies13;1.0;4;1.2848484848484847;1.325;1.4431818181818181;1.5829812553591862;1.6907893246365808;1.7557447729296651;0.8776923076923075;0.8623076923076922;0.850944055944056
http://soa4all.isoco.net/luf/users/movies13;1.0;5;1.3189393939393939;1.361363636363636;1.6734848484848484;1.6101161278903124;1.7240237724855874;2.056919777738069;0.8738811188811189;0.8527272727272728;0.7928671328671328
