User;nRatings;LearningMethod;lambda;nfeatures;fold;Linear AccuracyError;Linear MAE;Linear RMSE;Linear Spearman;Gaussian AccuracyError;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial AccuracyError;Polynomial MAE;Polynomial RMSE;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;2;0,7142857142857143;1,0;1,3627702877384937;0,7678571428571428;0,7142857142857143;1,0;1,3627702877384937;0,7678571428571428;0,7142857142857143;0,8571428571428571;1,0690449676496976;0,8571428571428572
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;3;1,0;1,7142857142857142;1,7728105208558367;0,6071428571428572;1,0;2,142857142857143;2,4201534780139164;0,2678571428571429;1,0;1,7142857142857142;1,927248223318863;0,5357142857142857
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;4;0,8571428571428572;1,1428571428571428;1,3093073414159542;0,7857142857142857;0,5714285714285714;0,7142857142857143;1,0;0,875;0,7142857142857143;0,8571428571428571;1,0690449676496976;0,8571428571428572
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;5;0,8333333333333334;1,6666666666666667;2,0;0,3142857142857143;0,8333333333333334;1,6666666666666667;2,0816659994661326;0,2571428571428571;0,6666666666666667;1,5;1,8708286933869707;0,4
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;6;1,0;2,0;2,160246899469287;0,19999999999999996;0,6666666666666667;2,0;2,516611478423583;-0,08571428571428563;1,0;1,8333333333333333;2,041241452319315;0,2857142857142857
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;7;1,0;1,8333333333333333;1,9578900207451218;0,34285714285714286;0,8333333333333334;1,3333333333333333;1,632993161855452;0,5428571428571429;1,0;1,6666666666666667;1,7320508075688772;0,48571428571428577
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;8;0,6666666666666667;1,0;1,2909944487358056;0,7142857142857143;0,8333333333333334;2,1666666666666665;2,41522945769824;0,0;1,0;1,6666666666666667;1,7320508075688772;0,48571428571428577
http://soa4all.isoco.net/luf/users/movies13;65;SIMPLE_ONLINE;1,0;675;9;1,0;1,5;1,5811388300841898;0,5714285714285714;0,6666666666666667;1,3333333333333333;1,7320508075688772;0,48571428571428577;0,8333333333333334;1,6666666666666667;2,0;0,3142857142857143
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;0;0,5;0,5;0,7071067811865476;0,0;0,5;0,5;0,7071067811865476;0,0;0,5;0,5;0,7071067811865476;0,0
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;1;1,0;3,0;3,1622776601683795;-19,0;1,0;3,0;3,1622776601683795;-19,0;1,0;3,0;3,1622776601683795;-19,0
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;2;1,0;2,5;2,9154759474226504;-16,0;1,0;3,0;3,1622776601683795;-19,0;1,0;2,5;2,9154759474226504;-16,0
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;3;1,0;1,5;1,5811388300841898;-4,0;1,0;1,5;1,5811388300841898;-4,0;1,0;1,5;1,5811388300841898;-4,0
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;4;1,0;3,0;3,1622776601683795;-19,0;1,0;3,0;3,1622776601683795;-19,0;1,0;3,0;3,1622776601683795;-19,0
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;5;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;6;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;7;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity;1,0;3,0;3,0;-Infinity
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;8;0,0;0,0;0,0;NaN;0,0;0,0;0,0;NaN;0,0;0,0;0,0;NaN
http://soa4all.isoco.net/luf/users/movies49;15;SIMPLE_ONLINE;1,0;675;9;0,0;0,0;0,0;NaN;1,0;3,0;3,0;-Infinity;0,0;0,0;0,0;NaN
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;0;1,0;1,5;1,5811388300841898;-4,0;1,0;1,5;1,5811388300841898;-4,0;1,0;2,5;2,5495097567963922;-12,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;1;1,0;2,0;2,23606797749979;-9,0;1,0;2,0;2,23606797749979;-9,0;0,5;2,0;2,8284271247461903;-15,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;2;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;3;0,5;1,5;2,1213203435596424;-8,0;0,5;1,5;2,1213203435596424;-8,0;1,0;2,5;2,9154759474226504;-16,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;4;1,0;2,0;2,23606797749979;-9,0;1,0;2,0;2,23606797749979;-9,0;1,0;2,5;2,9154759474226504;-16,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;5;0,5;0,5;0,7071067811865476;0,0;0,5;0,5;0,7071067811865476;0,0;0,5;0,5;0,7071067811865476;0,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;6;1,0;2,5;2,5495097567963922;-12,0;1,0;2,5;2,5495097567963922;-12,0;1,0;2,5;2,5495097567963922;-12,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;7;1,0;1,5;1,5811388300841898;-4,0;1,0;1,5;1,5811388300841898;-4,0;0,5;1,5;2,1213203435596424;-8,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;8;0,5;0,5;0,7071067811865476;0,0;0,5;0,5;0,7071067811865476;0,0;1,0;1,5;1,5811388300841898;-4,0
http://soa4all.isoco.net/luf/users/movies751;20;SIMPLE_ONLINE;1,0;675;9;0,5;1,0;1,4142135623730951;-3,0;0,5;1,0;1,4142135623730951;-3,0;0,5;1,0;1,4142135623730951;-3,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;0;0,5;1,5;2,1213203435596424;-8,0;1,0;2,5;2,5495097567963922;-12,0;0,5;1,5;2,1213203435596424;-8,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;1;0,5;0,5;0,7071067811865476;0,0;1,0;2,5;2,5495097567963922;-12,0;1,0;1,5;1,5811388300841898;-4,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;2;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;3;1,0;1,5;1,5811388300841898;-4,0;1,0;1,5;1,5811388300841898;-4,0;1,0;2,5;2,5495097567963922;-12,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;4;1,0;1,5;1,5811388300841898;-4,0;1,0;2,5;2,9154759474226504;-16,0;0,5;1,5;2,1213203435596424;-8,0
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;5;1,0;3,0;3,0;-Infinity;0,0;0,0;0,0;NaN;0,0;0,0;0,0;NaN
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;6;1,0;1,0;1,0;-Infinity;1,0;4,0;4,0;-Infinity;0,0;0,0;0,0;NaN
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;7;1,0;3,0;3,0;-Infinity;0,0;0,0;0,0;NaN;1,0;4,0;4,0;-Infinity
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;8;1,0;2,0;2,0;-Infinity;1,0;2,0;2,0;-Infinity;1,0;3,0;3,0;-Infinity
http://soa4all.isoco.net/luf/users/movies479;15;SIMPLE_ONLINE;1,0;675;9;1,0;2,0;2,0;-Infinity;1,0;2,0;2,0;-Infinity;1,0;1,0;1,0;-Infinity
http://soa4all.isoco.net/luf/users/movies342;20;SIMPLE_ONLINE;1,0;675;0;1,0;2,0;2,23606797749979;-9,0;1,0;2,0;2,23606797749979;-9,0;1,0;3,0;3,1622776601683795;-19,0
http://soa4all.isoco.net/luf/users/movies342;20;SIMPLE_ONLINE;1,0;675;1;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0;1,0;1,0;1,0;-1,0
http://soa4all.isoco.net/luf/users/movies342;20;SIMPLE_ONLINE;1,0;675;2;1,0;2,0;2,23606797749979;-9,0;1,0;2,5;2,5495097567963922;-12,0;1,0;1,5;1,5811388300841898;-4,0
http://soa4all.isoco.net/luf/users/movies342;20;SIMPLE_ONLINE;1,0;675;3;0,5;1,0;1,4142135623730951;-3,0;0,5;1,0;1,4142135623730951;-3,0;0,5;1,0;1,4142135623730951;-3,0
