utente;probability;nfeatures;fold;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;1.0;2;0;1.5;1.5;1.5;2.0816659994661326;2.0816659994661326;2.0816659994661326;0.8181818181818181;0.8181818181818181;0.8181818181818181
http://soa4all.isoco.net/luf/users/movies13;1.0;2;1;2.0833333333333335;2.0833333333333335;2.0833333333333335;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.7587412587412588;0.7587412587412588;0.7587412587412588
http://soa4all.isoco.net/luf/users/movies13;1.0;2;2;1.9166666666666667;1.9166666666666667;1.9166666666666667;2.362907813126304;2.362907813126304;2.362907813126304;0.7657342657342657;0.7657342657342657;0.7657342657342657
http://soa4all.isoco.net/luf/users/movies13;1.0;2;3;1.9166666666666667;1.9166666666666667;1.9166666666666667;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.7587412587412588;0.7587412587412588;0.7587412587412588
http://soa4all.isoco.net/luf/users/movies13;1.0;2;4;1.5454545454545454;1.5454545454545454;1.5454545454545454;1.8829377433825436;1.8829377433825436;1.8829377433825436;0.8227272727272728;0.8227272727272728;0.8227272727272728
http://soa4all.isoco.net/luf/users/movies13;1.0;2;5;1.9090909090909092;1.9090909090909092;1.9090909090909092;2.354878881270658;2.354878881270658;2.354878881270658;0.7227272727272727;0.7227272727272727;0.7227272727272727
http://soa4all.isoco.net/luf/users/movies13;1.0;2;6;2.0;2.0;2.0;2.412090756622109;2.412090756622109;2.412090756622109;0.7090909090909091;0.7090909090909091;0.7090909090909091
http://soa4all.isoco.net/luf/users/movies13;1.0;2;7;2.6363636363636362;2.6363636363636362;2.6363636363636362;2.8444523358476395;2.8444523358476395;2.8444523358476395;0.5954545454545455;0.5954545454545455;0.5954545454545455
http://soa4all.isoco.net/luf/users/movies13;1.0;2;8;3.0;3.0;3.0;3.2051095570553083;3.2051095570553083;3.2051095570553083;0.48636363636363633;0.48636363636363633;0.48636363636363633
http://soa4all.isoco.net/luf/users/movies13;1.0;2;9;2.1818181818181817;2.1818181818181817;2.1818181818181817;2.5584085962673253;2.5584085962673253;2.5584085962673253;0.6727272727272727;0.6727272727272727;0.6727272727272727
http://soa4all.isoco.net/luf/users/movies13;0.9;3;0;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.5275252316519468;1.5275252316519468;1.5275252316519468;0.9020979020979021;0.9020979020979021;0.9020979020979021
http://soa4all.isoco.net/luf/users/movies13;0.9;3;1;0.9166666666666666;0.9166666666666666;0.9166666666666666;1.1902380714238083;1.1902380714238083;1.1902380714238083;0.9405594405594405;0.9405594405594405;0.9405594405594405
http://soa4all.isoco.net/luf/users/movies13;0.9;3;2;1.0833333333333333;1.25;1.8333333333333333;1.3844373104863459;1.5;2.309401076758503;0.9195804195804196;0.9055944055944056;0.7762237762237763
http://soa4all.isoco.net/luf/users/movies13;0.9;3;3;1.0833333333333333;1.0833333333333333;2.0833333333333335;1.4433756729740645;1.4433756729740645;2.533114025595111;0.9125874125874126;0.9125874125874126;0.7307692307692308
http://soa4all.isoco.net/luf/users/movies13;0.9;3;4;0.8181818181818182;0.8181818181818182;0.8181818181818182;1.1677484162422844;1.1677484162422844;1.1677484162422844;0.9318181818181819;0.9318181818181819;0.9318181818181819
http://soa4all.isoco.net/luf/users/movies13;0.9;3;5;1.1818181818181819;1.1818181818181819;1.1818181818181819;1.381698559415515;1.381698559415515;1.381698559415515;0.9045454545454545;0.9045454545454545;0.9045454545454545
http://soa4all.isoco.net/luf/users/movies13;0.9;3;6;1.0909090909090908;1.2727272727272727;1.0909090909090908;1.348399724926484;1.7056057308448835;1.348399724926484;0.9090909090909091;0.8545454545454545;0.9090909090909091
