User;nRatings;LearningMethod;lambda;nfeatures;fold;Linear AccuracyError;Linear MAE;Linear RMSE;Linear Spearman;Gaussian AccuracyError;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial AccuracyError;Polynomial MAE;Polynomial RMSE;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;0;1.0;2.3333333333333335;2.516611478423583;-3.75;1.0;2.3333333333333335;2.516611478423583;-3.75;1.0;2.3333333333333335;2.516611478423583;-3.75
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;1;0.6666666666666667;1.3333333333333333;1.632993161855452;-1.0;0.6666666666666667;1.0;1.2909944487358056;-0.25;0.6666666666666667;1.3333333333333333;1.632993161855452;-1.0
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;2;1.0;2.0;2.0;-2.0;1.0;2.0;2.0;-2.0;1.0;2.0;2.0;-2.0
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;3;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;4;0.33333333333333337;0.3333333333333333;0.5773502691896257;0.75;0.33333333333333337;0.3333333333333333;0.5773502691896257;0.75;0.33333333333333337;0.3333333333333333;0.5773502691896257;0.75
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;5;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5;0.6666666666666667;0.6666666666666666;0.816496580927726;0.5
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;6;0.33333333333333337;0.6666666666666666;1.1547005383792515;0.0;0.33333333333333337;0.6666666666666666;1.1547005383792515;0.0;0.33333333333333337;0.6666666666666666;1.1547005383792515;0.0
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;7;0.6666666666666667;1.3333333333333333;1.8257418583505538;-1.5;0.6666666666666667;1.3333333333333333;1.8257418583505538;-1.5;0.6666666666666667;1.3333333333333333;1.8257418583505538;-1.5
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;8;0.5;0.5;0.7071067811865476;0.0;0.5;0.5;0.7071067811865476;0.0;0.5;0.5;0.7071067811865476;0.0
http://soa4all.isoco.net/luf/users/movies536;28;SIMPLE_ONLINE;1.0;4789;9;0.5;0.5;0.7071067811865476;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;4789;0;0.8333333333333334;1.1666666666666667;1.35400640077266;0.6857142857142857;1.0;1.1666666666666667;1.224744871391589;0.7428571428571429;0.8333333333333334;1.1666666666666667;1.35400640077266;0.6857142857142857
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;4789;1;0.5;0.8333333333333334;1.224744871391589;0.7428571428571429;0.8333333333333334;1.5;1.6832508230603465;0.5142857142857142;1.0;1.8333333333333333;2.041241452319315;0.2857142857142857
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;4789;2;1.0;2.0;2.0816659994661326;0.2571428571428571;1.0;2.1666666666666665;2.273030282830976;0.11428571428571432;1.0;2.8333333333333335;2.857738033247041;-0.3999999999999999
