utente;lambda;nfeatures;fold;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;1.0;0;0;1.5;1.5;1.5;2.0816659994661326;2.0816659994661326;2.0816659994661326;0.8181818181818181;0.8181818181818181;0.8181818181818181
http://soa4all.isoco.net/luf/users/movies13;1.0;0;1;2.0833333333333335;2.0833333333333335;2.0833333333333335;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.7587412587412588;0.7587412587412588;0.7587412587412588
http://soa4all.isoco.net/luf/users/movies13;1.0;0;2;1.9166666666666667;1.9166666666666667;1.9166666666666667;2.362907813126304;2.362907813126304;2.362907813126304;0.7657342657342657;0.7657342657342657;0.7657342657342657
http://soa4all.isoco.net/luf/users/movies13;1.0;0;3;1.9166666666666667;1.9166666666666667;1.9166666666666667;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.7587412587412588;0.7587412587412588;0.7587412587412588
http://soa4all.isoco.net/luf/users/movies13;1.0;0;4;1.5454545454545454;1.5454545454545454;1.5454545454545454;1.8829377433825436;1.8829377433825436;1.8829377433825436;0.8227272727272728;0.8227272727272728;0.8227272727272728
http://soa4all.isoco.net/luf/users/movies13;1.0;0;5;1.9090909090909092;1.9090909090909092;1.9090909090909092;2.354878881270658;2.354878881270658;2.354878881270658;0.7227272727272727;0.7227272727272727;0.7227272727272727
http://soa4all.isoco.net/luf/users/movies13;1.0;0;6;2.0;2.0;2.0;2.412090756622109;2.412090756622109;2.412090756622109;0.7090909090909091;0.7090909090909091;0.7090909090909091
http://soa4all.isoco.net/luf/users/movies13;1.0;0;7;2.6363636363636362;2.6363636363636362;2.6363636363636362;2.8444523358476395;2.8444523358476395;2.8444523358476395;0.5954545454545455;0.5954545454545455;0.5954545454545455
http://soa4all.isoco.net/luf/users/movies13;1.0;0;8;3.0;3.0;3.0;3.2051095570553083;3.2051095570553083;3.2051095570553083;0.48636363636363633;0.48636363636363633;0.48636363636363633
http://soa4all.isoco.net/luf/users/movies13;1.0;0;9;2.1818181818181817;2.1818181818181817;2.1818181818181817;2.5584085962673253;2.5584085962673253;2.5584085962673253;0.6727272727272727;0.6727272727272727;0.6727272727272727
http://soa4all.isoco.net/luf/users/movies13;1.0;1;0;1.3333333333333333;1.3333333333333333;1.5;1.5275252316519468;1.5275252316519468;1.7320508075688772;0.9020979020979021;0.9020979020979021;0.8741258741258742
http://soa4all.isoco.net/luf/users/movies13;1.0;1;1;0.9166666666666666;0.9166666666666666;1.75;1.1902380714238083;1.1902380714238083;2.101586702153082;0.9405594405594405;0.9405594405594405;0.8146853146853147
http://soa4all.isoco.net/luf/users/movies13;1.0;1;2;1.0833333333333333;1.0833333333333333;1.4166666666666667;1.3844373104863459;1.3844373104863459;1.7559422921421233;0.9195804195804196;0.9195804195804196;0.8706293706293706
http://soa4all.isoco.net/luf/users/movies13;1.0;1;3;1.0833333333333333;1.0833333333333333;2.0;1.4433756729740645;1.4433756729740645;2.41522945769824;0.9125874125874126;0.9125874125874126;0.7552447552447552
http://soa4all.isoco.net/luf/users/movies13;1.0;1;4;0.8181818181818182;0.8181818181818182;2.4545454545454546;1.1677484162422844;1.1677484162422844;2.6798914496333954;0.9318181818181819;0.9318181818181819;0.6409090909090909
http://soa4all.isoco.net/luf/users/movies13;1.0;1;5;1.3636363636363635;1.1818181818181819;2.090909090909091;1.6236882817719773;1.381698559415515;2.5045413298101655;0.8681818181818182;0.9045454545454545;0.6863636363636363
http://soa4all.isoco.net/luf/users/movies13;1.0;1;6;1.0909090909090908;1.0909090909090908;1.0909090909090908;1.348399724926484;1.348399724926484;1.348399724926484;0.9090909090909091;0.9090909090909091;0.9090909090909091
http://soa4all.isoco.net/luf/users/movies13;1.0;1;7;1.0;1.0;0.9090909090909091;1.243163121016122;1.243163121016122;1.1281521496355325;0.9227272727272727;0.9227272727272727;0.9363636363636364
http://soa4all.isoco.net/luf/users/movies13;1.0;1;8;1.3636363636363635;1.4545454545454546;1.5454545454545454;1.5075567228888183;1.5954480704349312;1.7320508075688772;0.8863636363636364;0.8727272727272728;0.85
http://soa4all.isoco.net/luf/users/movies13;1.0;1;9;1.8181818181818181;1.8181818181818181;1.8181818181818181;2.256304299271065;2.256304299271065;2.256304299271065;0.7454545454545455;0.7454545454545455;0.7454545454545455
http://soa4all.isoco.net/luf/users/movies13;1.0;2;0;1.8333333333333333;1.3333333333333333;1.3333333333333333;2.041241452319315;1.5275252316519468;1.5275252316519468;0.8251748251748252;0.9020979020979021;0.9020979020979021
http://soa4all.isoco.net/luf/users/movies13;1.0;2;1;0.9166666666666666;0.9166666666666666;1.75;1.3228756555322954;1.1902380714238083;2.140872096444188;0.9265734265734266;0.9405594405594405;0.8076923076923077
http://soa4all.isoco.net/luf/users/movies13;1.0;2;2;1.25;1.25;1.25;1.5;1.5;1.5;0.9055944055944056;0.9055944055944056;0.9055944055944056
http://soa4all.isoco.net/luf/users/movies13;1.0;2;3;1.0833333333333333;1.0833333333333333;1.5;1.4433756729740645;1.4433756729740645;1.7320508075688772;0.9125874125874126;0.9125874125874126;0.8741258741258742
http://soa4all.isoco.net/luf/users/movies13;1.0;2;4;1.0;0.8181818181818182;1.5454545454545454;1.5666989036012806;1.3142574813455419;1.9771421064483223;0.8772727272727273;0.9136363636363636;0.8045454545454546
http://soa4all.isoco.net/luf/users/movies13;1.0;2;5;1.4545454545454546;1.1818181818181819;1.9090909090909092;1.7580981459830651;1.381698559415515;2.354878881270658;0.8454545454545455;0.9045454545454545;0.7227272727272727
http://soa4all.isoco.net/luf/users/movies13;1.0;2;6;1.0909090909090908;1.0909090909090908;2.0;1.348399724926484;1.348399724926484;2.412090756622109;0.9090909090909091;0.9090909090909091;0.7090909090909091
