utente;rating Utente;KERNEL_MODE;lambda;nfeatures;fold;Linear MAE;Linear RMSE;Linear Spearman;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial MAE;Polynomial RMSE;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;0;1.3333333333333333;1.5275252316519468;0.6;1.1666666666666667;1.35400640077266;0.6857142857142857;1.0;1.2909944487358056;0.7142857142857143
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;1;0.8333333333333334;1.224744871391589;0.7428571428571429;0.8333333333333334;1.224744871391589;0.7428571428571429;0.8333333333333334;1.224744871391589;0.7428571428571429
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;2;1.8333333333333333;1.8708286933869707;0.4;1.8333333333333333;1.8708286933869707;0.4;1.3333333333333333;1.5275252316519468;0.6
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;3;1.5;1.6832508230603465;0.5142857142857142;1.8333333333333333;2.273030282830976;0.11428571428571432;1.5;1.7795130420052185;0.4571428571428572
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;4;2.0;2.0976176963403033;-0.10000000000000009;2.0;2.0976176963403033;-0.10000000000000009;2.0;2.0976176963403033;-0.10000000000000009
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;5;2.0;2.1908902300206643;-0.19999999999999996;2.0;2.1908902300206643;-0.19999999999999996;1.8;1.9493588689617927;0.050000000000000044
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;6;1.4;1.7320508075688772;0.25;1.4;1.61245154965971;0.35;1.6;2.0976176963403033;-0.10000000000000009
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;7;0.4;0.6324555320336759;0.9;0.4;0.6324555320336759;0.9;0.6;0.7745966692414834;0.85
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;8;1.4;1.7320508075688772;0.25;1.4;1.7320508075688772;0.25;1.4;1.7320508075688772;0.25
http://soa4all.isoco.net/luf/users/movies363;54;SIMPLE_ONLINE;1.0;-1;9;1.4;1.7320508075688772;0.25;2.2;2.4899799195977463;-0.55;1.4;1.7320508075688772;0.25
